"","region","min","max","minmo","maxmo"
"1","AFSC_Aleutians",07/01/83,08/01/12,283,632
"2","AFSC_EBS",05/01/82,08/01/13,269,644
"3","AFSC_GOA",06/01/84,08/01/13,294,644
"4","AFSC_WCTri",07/01/77,07/01/04,211,535
"5","DFO_NewfoundlandFall",09/01/95,12/01/11,429,624
"6","DFO_NewfoundlandSpring",05/01/96,06/01/11,437,618
"7","DFO_ScotianShelf",07/01/70,08/01/11,127,620
"8","DFO_SoGulf",09/01/71,09/01/09,141,597
"9","NEFSC_NEUSFall",10/01/63,10/01/13,46,646
"10","NEFSC_NEUSSpring",03/01/68,03/01/13,99,639
"11","NWFSC_WCAnn",06/01/03,10/01/12,522,634
"12","SEFSC_GOMex",06/01/82,07/01/13,270,643
